route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
18609,SFMTA,1,CALIFORNIA, ,3,https://SFMTA.com/1              ,005B95 ,FFFFFF 
18614,SFMTA,5,FULTON, ,3,https://SFMTA.com/5              ,005B95 ,FFFFFF 
18615,SFMTA,5R,FULTON RAPID, ,3,https://SFMTA.com/5R             ,BF2B45 ,FFFFFF 
18617,SFMTA,7,HAIGHT-NORIEGA, ,3,https://SFMTA.com/7              ,005B95 ,FFFFFF 
18619,SFMTA,8,BAYSHORE, ,3,https://SFMTA.com/8              ,005B95 ,FFFFFF 
18620,SFMTA,8AX,BAYSHORE A EXPRESS, ,3,https://SFMTA.com/8AX            ,005B95 ,FFFFFF 
18621,SFMTA,8BX,BAYSHORE B EXPRESS, ,3,https://SFMTA.com/8BX            ,005B95 ,FFFFFF 
18622,SFMTA,9,SAN BRUNO, ,3,https://SFMTA.com/9              ,005B95 ,FFFFFF 
18623,SFMTA,9R,SAN BRUNO RAPID, ,3,https://SFMTA.com/9R             ,BF2B45 ,FFFFFF 
18625,SFMTA,12,FOLSOM-PACIFIC, ,3,https://SFMTA.com/12             ,005B95 ,FFFFFF 
18626,SFMTA,14,MISSION, ,3,https://SFMTA.com/14             ,005B95 ,FFFFFF 
18627,SFMTA,14R,MISSION RAPID, ,3,https://SFMTA.com/14R            ,BF2B45 ,FFFFFF 
18629,SFMTA,15,BAYVIEW HUNTERS POINT EXPRESS, ,3,https://SFMTA.com/15             ,005B95 ,FFFFFF 
18630,SFMTA,18,46TH AVENUE, ,3,https://SFMTA.com/18             ,005B95 ,FFFFFF 
18631,SFMTA,19,POLK, ,3,https://SFMTA.com/19             ,005B95 ,FFFFFF 
18633,SFMTA,22,FILLMORE, ,3,https://SFMTA.com/22             ,005B95 ,FFFFFF 
18634,SFMTA,23,MONTEREY, ,3,https://SFMTA.com/23             ,005B95 ,FFFFFF 
18635,SFMTA,24,DIVISADERO, ,3,https://SFMTA.com/24             ,005B95 ,FFFFFF 
18636,SFMTA,25,TREASURE ISLAND, ,3,https://SFMTA.com/25             ,005B95 ,FFFFFF 
18637,SFMTA,27,BRYANT, ,3,https://SFMTA.com/27             ,005B95 ,FFFFFF 
18638,SFMTA,28,19TH AVENUE, ,3,https://SFMTA.com/28             ,005B95 ,FFFFFF 
18640,SFMTA,29,SUNSET, ,3,https://SFMTA.com/29             ,005B95 ,FFFFFF 
18641,SFMTA,30,STOCKTON, ,3,https://SFMTA.com/30             ,005B95 ,FFFFFF 
18643,SFMTA,31,BALBOA, ,3,https://SFMTA.com/31             ,005B95 ,FFFFFF 
18646,SFMTA,33,ASHBURY-18TH ST, ,3,https://SFMTA.com/33             ,005B95 ,FFFFFF 
18648,SFMTA,35,EUREKA, ,3,https://SFMTA.com/35             ,005B95 ,FFFFFF 
18649,SFMTA,36,TERESITA, ,3,https://SFMTA.com/36             ,005B95 ,FFFFFF 
18650,SFMTA,37,CORBETT, ,3,https://SFMTA.com/37             ,005B95 ,FFFFFF 
18651,SFMTA,38,GEARY, ,3,https://SFMTA.com/38             ,005B95 ,FFFFFF 
